ReadableTime,RelativeTime(s),Dev1_Strain_Gauge_1,Dev1_Strain_Gauge_2,Dev1_Temperature_TC1,Dev1_Vibration_X,Dev1_Vibration_Y,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2
23:23:55.675,0.078,-9.099948,-9.100111,-0.013659,-0.018592,-0.013659,25.880000,25.380000
23:23:55.781,0.184,-9.099948,-9.099971,0.011007,-0.008726,-0.013659,25.880000,25.380000
23:23:55.893,0.296,-9.099948,-9.100041,-0.003792,-0.008726,-0.008726,25.880000,25.380000
23:23:56.001,0.404,-9.099948,-9.100018,0.001141,-0.013659,-0.013659,25.880000,25.380000
23:23:56.113,0.516,-9.099925,-9.100018,0.001141,-0.013659,-0.008726,25.880000,25.380000
23:23:56.219,0.622,-9.099948,-9.099948,0.020874,0.001141,-0.003792,25.880000,25.380000
23:23:56.328,0.731,-9.099948,-9.100018,0.006074,-0.003792,-0.003792,25.880000,25.380000
23:23:56.437,0.840,-9.099856,-9.100041,0.006074,-0.008726,-0.008726,25.880000,25.390000
23:23:56.547,0.950,-9.099948,-9.100018,0.006074,-0.008726,-0.003792,25.880000,25.380000
23:23:56.657,1.060,-9.099948,-9.099995,0.001141,-0.008726,-0.008726,25.880000,25.390000
23:23:56.765,1.168,-9.099925,-9.100041,0.006074,-0.003792,-0.003792,25.880000,25.390000
23:23:56.875,1.278,-9.099925,-9.100018,0.006074,-0.008726,-0.008726,25.880000,25.380000
23:23:56.983,1.386,-9.099948,-9.100018,0.001141,-0.013659,-0.018592,25.880000,25.380000
23:23:57.093,1.496,-9.099925,-9.099995,0.001141,-0.013659,-0.013659,25.880000,25.380000
23:23:57.209,1.612,-9.099948,-9.100018,-0.003792,-0.013659,-0.013659,25.880000,25.380000
23:23:57.312,1.715,-9.099948,-9.100041,0.001141,-0.013659,-0.008726,25.880000,25.380000
23:23:57.422,1.825,-9.099971,-9.100018,0.001141,-0.008726,-0.013659,25.880000,25.380000
23:23:57.531,1.934,-9.099971,-9.100041,-0.003792,-0.013659,-0.018592,25.890000,25.380000
23:23:57.642,2.045,-9.099925,-9.100018,0.006074,-0.008726,-0.018592,25.890000,25.380000
23:23:57.749,2.152,-9.099902,-9.099995,0.001141,-0.013659,-0.018592,25.890000,25.380000
23:23:57.862,2.265,-9.099925,-9.100018,0.006074,-0.013659,-0.013659,25.890000,25.390000
23:23:57.970,2.373,-9.099948,-9.100018,-0.003792,-0.018592,-0.028458,25.890000,25.390000
23:23:58.078,2.481,-9.099948,-9.100018,0.001141,-0.013659,-0.018592,25.890000,25.390000
23:23:58.187,2.590,-9.099902,-9.100018,-0.003792,-0.013659,-0.023525,25.890000,25.390000
23:23:58.299,2.702,-9.099902,-9.100041,-0.003792,-0.008726,-0.018592,25.890000,25.390000
23:23:58.406,2.809,-9.099948,-9.100018,0.001141,-0.013659,-0.018592,25.890000,25.390000
23:23:58.520,2.923,-9.099948,-9.100041,-0.003792,-0.023525,-0.018592,25.890000,25.390000
23:23:58.625,3.028,-9.099948,-9.100087,-0.013659,-0.018592,-0.028458,25.890000,25.390000
23:23:58.735,3.138,-9.099948,-9.100087,-0.013659,-0.018592,-0.028458,25.890000,25.390000
23:23:58.845,3.248,-9.099925,-9.100018,0.001141,-0.018592,-0.018592,25.890000,25.390000
23:23:58.953,3.356,-9.099948,-9.100018,-0.003792,-0.018592,-0.023525,25.880000,25.390000
23:23:59.063,3.466,-9.099948,-9.100018,0.001141,-0.013659,-0.018592,25.880000,25.390000
23:23:59.176,3.579,-9.099925,-9.100018,-0.003792,-0.008726,-0.018592,25.880000,25.390000
23:23:59.280,3.683,-9.099948,-9.100018,0.001141,-0.018592,-0.023525,25.880000,25.390000
23:23:59.391,3.794,-9.099971,-9.100041,0.001141,-0.013659,-0.018592,25.880000,25.380000
23:23:59.499,3.902,-9.100041,-9.100018,0.001141,-0.013659,-0.018592,25.880000,25.380000
23:23:59.608,4.011,-9.099948,-9.100018,0.001141,-0.013659,-0.018592,25.880000,25.380000
23:23:59.718,4.121,-9.099925,-9.099995,0.011007,-0.008726,-0.018592,25.880000,25.380000
23:23:59.830,4.233,-9.099948,-9.100018,0.001141,-0.013659,-0.018592,25.880000,25.390000
23:23:59.936,4.339,-9.099948,-9.100018,-0.003792,-0.018592,-0.018592,25.880000,25.380000
23:24:00.051,4.454,-9.099948,-9.100041,0.001141,-0.013659,-0.018592,25.880000,25.390000
23:24:00.156,4.559,-9.099948,-9.100018,0.001141,-0.018592,-0.018592,25.880000,25.390000
23:24:00.265,4.668,-9.099925,-9.100041,-0.003792,-0.013659,-0.018592,25.880000,25.390000
23:24:00.376,4.779,-9.099948,-9.099995,0.006074,-0.008726,-0.018592,25.880000,25.390000
23:24:00.486,4.889,-9.099971,-9.100041,-0.003792,-0.013659,-0.018592,25.880000,25.390000
23:24:00.593,4.996,-9.099948,-9.100041,-0.008726,-0.018592,-0.028458,25.880000,25.390000
23:24:00.707,5.110,-9.099948,-9.100087,-0.008726,-0.018592,-0.023525,25.880000,25.390000
23:24:00.813,5.216,-9.099971,-9.100018,-0.003792,-0.023525,-0.033392,25.880000,25.390000
23:24:00.925,5.328,-9.099879,-9.100041,0.001141,-0.018592,-0.028458,25.880000,25.390000
23:24:01.033,5.436,-9.099925,-9.100041,-0.003792,-0.023525,-0.028458,25.880000,25.390000
23:24:01.142,5.545,-9.099948,-9.100018,0.001141,-0.023525,-0.028458,25.880000,25.380000
23:24:01.250,5.653,-9.099995,-9.100041,-0.003792,-0.018592,-0.028458,25.880000,25.380000
23:24:01.359,5.762,-9.099948,-9.100018,-0.003792,-0.023525,-0.038325,25.880000,25.380000
23:24:01.468,5.871,-9.099948,-9.100041,-0.003792,-0.023525,-0.033392,25.890000,25.380000
23:24:01.578,5.981,-9.099995,-9.100041,0.001141,-0.013659,-0.028458,25.890000,25.380000
23:24:01.687,6.090,-9.099948,-9.100018,-0.003792,-0.018592,-0.018592,25.890000,25.380000
23:24:01.799,6.202,-9.099948,-9.100041,-0.003792,-0.018592,-0.023525,25.890000,25.380000
23:24:01.905,6.308,-9.099948,-9.100018,0.001141,-0.018592,-0.028458,25.890000,25.380000
23:24:02.014,6.417,-9.099925,-9.100018,-0.003792,-0.018592,-0.023525,25.890000,25.380000
23:24:02.127,6.530,-9.099995,-9.100041,0.001141,-0.018592,-0.023525,25.890000,25.390000
23:24:02.234,6.637,-9.099902,-9.100041,-0.003792,-0.018592,-0.018592,25.890000,25.390000
23:24:02.343,6.746,-9.100018,-9.100018,0.001141,-0.013659,-0.023525,25.890000,25.390000
23:24:02.454,6.857,-9.099879,-9.100041,0.001141,-0.018592,-0.023525,25.890000,25.390000
23:24:02.562,6.965,-9.099948,-9.100018,-0.003792,-0.023525,-0.028458,25.890000,25.390000
23:24:02.675,7.078,-9.099948,-9.100018,0.001141,-0.018592,-0.023525,25.890000,25.390000
23:24:02.780,7.183,-9.099948,-9.100041,-0.003792,-0.023525,-0.018592,25.890000,25.390000
23:24:02.890,7.293,-9.099948,-9.100064,-0.008726,-0.018592,-0.023525,25.890000,25.390000
23:24:03.000,7.403,-9.099948,-9.100064,-0.003792,-0.018592,-0.018592,25.880000,25.390000
